Data_OEE_ALL_Date,Data_OEE_ALL_Project,Data_OEE_ALL_Team,Data_OEE_ALL_OEE,Data_OEE_ALL_OEE_J1_G4,Data_OEE_ALL_Performance,Data_OEE_ALL_Availability,Data_OEE_ALL_Availability_J1_G4,Data_OEE_ALL_Quality,Data_OEE_ALL_Planned_DT,Data_OEE_ALL_Unplanned_DT,Data_OEE_ALL_UPD_J1_G4_,Data_OEE_ALL_Scrap_m,Data_OEE_ALL_DT_h,Data_OEE_ALL_Standard_Time_h,Data_OEE_ALL_Set_upTime,Data_OEE_ALL_Quantity_Psc,Data_OEE_ALL_Batch_size_Pcs
2/24/2023 12:00:00 AM,PSA,PSA 2,0.2574,0.3644,0.7043,0.3654,0.5174,0.9972,0.205,0.4292,0.1918,1526.685,263.97,107.07,9.31,223396,551
2/24/2023 12:00:00 AM,PSA,PSA 3,0.2539,0.3352,0.7015,0.3619,0.4778,0.9962,0.239,0.3986,0.2062,1358.255,265.43,105.63,8.37,222820,547
2/24/2023 12:00:00 AM,SysApp,Mouguina,0.2707,0.4896,0.6586,0.411,0.7434,0.9982,0.072,0.5171,0.1266,107.702,61.25,28.15,3.58,78528,1062
2/24/2023 12:00:00 AM,SysApp,Riahi,0.2203,0.4354,0.6849,0.3217,0.6357,0.9946,0.122,0.5566,0.1238,189.148,70.54,22.91,8.35,56976,1036
2/25/2023 12:00:00 AM,CV,BOUFDILI,0.3257,0.3532,0.6558,0.4966,0.5385,0.996,0.311,0.1925,0.1243,323.072,36.25,23.45,3.1,60102,196
2/25/2023 12:00:00 AM,PSA,PSA 2,0.2043,0.3027,0.6816,0.2998,0.4442,0.9969,0.212,0.4883,0.2419,1163.72,291.29,85,9.84,171049,463
2/25/2023 12:00:00 AM,SysApp,Riahi,0.2281,0.4991,0.7033,0.3243,0.7097,0.9959,0.082,0.5936,0.1107,233.205,70.27,23.72,4.5,56752,835
2/26/2023 12:00:00 AM,CV,BOUFDILI,0.4067,0.4371,0.7035,0.5782,0.6214,0.9986,0.281,0.1405,0.0763,143.721,30.37,29.28,3.28,75537,297
2/26/2023 12:00:00 AM,PSA,PSA 2,0.2771,0.3955,0.7242,0.3826,0.5461,0.9977,0.174,0.4437,0.206,1095.31,256.82,115.28,6.9,257798,634
2/27/2023 12:00:00 AM,CV,AKIL,0.2466,0.3247,0.681,0.3621,0.4768,0.9971,0.298,0.34,0.1309,133.071,45.93,17.75,3.9,45113,185
2/27/2023 12:00:00 AM,CV,BOUFDILI,0.3441,0.3712,0.677,0.5083,0.5483,0.9978,0.341,0.1509,0.0841,155.413,35.4,24.78,3.46,65392,213
2/27/2023 12:00:00 AM,CV,OMAR,0.2173,0.2504,0.6361,0.3417,0.3937,0.999,0.348,0.3102,0.2052,37.155,47.4,15.65,3.01,39382,123
2/27/2023 12:00:00 AM,PSA,PSA 1,0.2743,0.3557,0.6881,0.3986,0.5169,0.9967,0.217,0.3844,0.2015,1229.548,250.19,114.1,8.18,228970,571
2/27/2023 12:00:00 AM,PSA,PSA 2,0.3082,0.442,0.7398,0.4166,0.5975,0.9978,0.169,0.4139,0.1595,958.52,242.68,128.23,7.24,277038,643
2/27/2023 12:00:00 AM,PSA,PSA 3,0.2712,0.3678,0.7259,0.3736,0.5066,0.9966,0.201,0.4252,0.2206,1366.66,260.56,112.84,7.07,237798,580
2/27/2023 12:00:00 AM,SysApp,Mouguina,0.2347,0.4868,0.6541,0.3587,0.7442,0.9953,0.069,0.5726,0.1134,273.48,66.69,24.4,4.26,66084,1002
2/27/2023 12:00:00 AM,SysApp,Riahi,0.2664,0.4847,0.699,0.3811,0.6933,0.9959,0.112,0.5066,0.1024,273.57,64.37,27.71,6.4,68702,942
2/28/2023 12:00:00 AM,CV,AKIL,0.1814,0.241,0.5993,0.3027,0.4022,0.997,0.315,0.3825,0.1795,156.336,50.21,13.06,3.89,35500,126
2/28/2023 12:00:00 AM,CV,BOUFDILI,0.3803,0.4032,0.6993,0.5438,0.5765,0.9986,0.316,0.1399,0.0882,117.182,32.85,27.38,2.41,72542,173
2/28/2023 12:00:00 AM,CV,OMAR,0.2204,0.2663,0.6392,0.3448,0.4167,0.9979,0.315,0.3401,0.2025,101.266,47.18,15.87,3.83,41585,185
2/28/2023 12:00:00 AM,PSA,PSA 1,0.249,0.3252,0.7038,0.3537,0.4621,0.9956,0.231,0.4153,0.2361,1345.96,268.85,103.57,8.96,214380,557
2/28/2023 12:00:00 AM,PSA,PSA 2,0.3305,0.4727,0.7882,0.4193,0.5998,0.9973,0.172,0.4083,0.1536,1509.875,241.57,137.48,6.71,283134,725
2/28/2023 12:00:00 AM,PSA,PSA 3,0.262,0.3485,0.7216,0.3631,0.4829,0.9975,0.222,0.4146,0.2214,1111.01,264.97,108.99,8.43,219659,577
2/28/2023 12:00:00 AM,SysApp,Mouguina,0.2348,0.5038,0.6467,0.3631,0.779,0.9975,0.057,0.5803,0.0996,142.704,66.24,24.42,3.18,66484,1008
2/28/2023 12:00:00 AM,SysApp,Riahi,0.26,0.4758,0.6845,0.3799,0.6951,0.9955,0.114,0.5061,0.0963,277.461,64.49,27.04,6.91,66852,956
3/1/2023 12:00:00 AM,CV,AKIL,0.2224,0.2855,0.6345,0.3505,0.45,0.998,0.328,0.3211,0.1284,114.041,46.76,16.01,3.05,41398,110
3/1/2023 12:00:00 AM,CV,BOUFDILI,0.2848,0.312,0.6531,0.4361,0.4777,0.9976,0.391,0.1725,0.0936,157.584,40.6,20.51,3.07,52885,146
3/1/2023 12:00:00 AM,CV,OMAR,0.2282,0.2654,0.6501,0.351,0.4082,0.9958,0.332,0.3173,0.2059,159.927,46.73,16.43,4.23,39419,176
3/1/2023 12:00:00 AM,PSA,PSA 1,0.2352,0.3112,0.6801,0.3459,0.4576,0.9963,0.219,0.4352,0.2529,1334.18,282.56,101.63,8.63,202415,449
3/1/2023 12:00:00 AM,PSA,PSA 2,0.325,0.4492,0.7372,0.4408,0.6093,0.998,0.166,0.393,0.1609,849.35,241.58,140.38,7.77,304022,755
3/1/2023 12:00:00 AM,PSA,PSA 3,0.2338,0.3301,0.7242,0.3229,0.4558,0.9952,0.219,0.458,0.2348,2319.05,292.51,101.01,9.04,202428,525
3/1/2023 12:00:00 AM,SysApp,Mouguina,0.2729,0.5164,0.6789,0.4019,0.7607,0.9972,0.078,0.5203,0.0922,159.465,62.2,28.38,3.26,75962,916
3/1/2023 12:00:00 AM,SysApp,Riahi,0.2693,0.5091,0.7177,0.3752,0.7093,0.995,0.101,0.524,0.1001,289.514,64.98,28,4.23,70870,921
3/2/2023 12:00:00 AM,CV,AKIL,0.2518,0.3088,0.6891,0.3654,0.4481,0.9975,0.362,0.2726,0.1079,145.613,45.69,18.13,4.18,45409,157
3/2/2023 12:00:00 AM,CV,BOUFDILI,0.3038,0.3237,0.733,0.4145,0.4417,0.9979,0.444,0.1412,0.085,133.381,42.15,21.88,3.46,55087,172
3/2/2023 12:00:00 AM,CV,OMAR,0.2653,0.2955,0.6997,0.3791,0.4223,0.9961,0.335,0.2861,0.2048,210.297,44.7,19.1,3,46459,145
3/2/2023 12:00:00 AM,PSA,PSA 1,0.2515,0.3189,0.6709,0.375,0.4754,0.9969,0.219,0.4061,0.247,1279.32,270.02,108.67,8.5,226194,500
3/2/2023 12:00:00 AM,PSA,PSA 2,0.2947,0.4216,0.7359,0.4005,0.5728,0.9961,0.178,0.4216,0.1726,1955.4,258.99,127.32,7.64,264594,606
3/2/2023 12:00:00 AM,PSA,PSA 3,0.2594,0.3483,0.7178,0.3614,0.4852,0.9958,0.218,0.4209,0.2225,1734.955,275.89,112.06,8.36,247541,567
